UNITID,EN2010,EN2011
129941,6705,2506
129941,4471,241
129941,2234,241
129969,495,193
129969,495,193
130004,10002,6018
130004,10002,6018
130040,2379,8128
130040,2379,6978
130110,251,1150
130110,251,3191
130129,172,3191
130129,172,9116
130174,5063,6413
130174,5063,2703
130183,5708,7662
130183,4769,4862
130183,939,2800
130217,2968,2879
130217,2968,1179
130226,8645,1700
130226,6246,10706
130226,2399,10706
130253,7420,699
130253,4828,699
130253,2592,14217
130314,2580,9983
130314,1100,4234
130314,1480,636
130396,10365,636
130396,10365,169
130448,615,169
130448,615,2602
130493,14175,2453
130493,9814,149
130493,4361,6619
130509,702,6619
130509,702,1017
130581,162,1017
130581,162,3514
130590,2666,3055
130590,2474,459
130590,192,7872
130606,6698,7000
130606,6698,872
130624,975,12
130624,975,12
130697,3426,12893
130697,2988,6446
130697,438,6447
130776,7927,58
130776,6925,58
130776,1002,1501
130785,12,1501
130785,12,6427
130794,12462,6427
130794,6056,4820
130794,6406,4820
130837,54,10406
130837,54,10406
130873,669,4099
130873,669,3619
130891,6366,480
130891,6366,23239
130907,4760,19071
130907,4760,4168
130916,10388,1565
130916,10388,848
130934,4170,717
130934,3685,233
130934,485,233
130943,23680,2337
130943,19554,2133
130943,4126,204
130989,1518,14769
130989,748,8821
130989,770,5948
131061,222,13618
131061,222,7595
131098,2513,6023
131098,2254,7536
131098,259,3751
