UNITID,F1A13_10,F1A18_10,F1B25_10,F1A13_11,F1A18_11,F1B25_11
128540,,,,,,
128577,3535414,7758024,16092856,3649805,8951853,18558561
128586,,,,,,
128674,,,,,,
128683,,,,,,
128726,,,,,,
128744,,,,,,
128762,,,,,,
128771,98682379,249080256,200014704,96524060,252448062,211101375
128780,1019700,5240156,10546410,1436403,5126004,10916347
128896,,,,,,
128902,,,,,,
128957,,,,,,
129002,,,,,,
129020,1514715080,1790167755,1824599479,1437750033,1734964777,1809808373
129154,,,,,,
129181,,,,,,
129215,57224141,234029147,114954357,54736071,253787262,135173248
129242,,,,,,
129349,,,,,,
129367,6789892,61733592,38467355,6846774,61966787,40497037
129428,,,,,,
129482,,,,,,
129491,,,,,,
129525,,,,,,
129534,,,,,,
129543,7541215,94616694,37649936,8230374,93082201,43143810
129613,,,,,,
129640,,,,,,
129686,,,,,,
129695,11734197,71872847,55277760,11678404,71094409,59110305
129729,13147164,56564274,53676817,13077240,56590886,59548489
129756,4850997,10625585,21180478,5585989,10355262,23196359
129774,,,,,,
129808,8170400,90330168,32913289,8463268,90562780,38821247
129923,,,,,,
129932,,,,,,
129941,,,,,,
129969,,,,,,
130004,11597231,49209480,71774352,11880018,50684223,53014998
130040,3598165,24256809,15666370,3653902,26062888,19252412
130110,,,,,,
130129,,,,,,
130174,,,,,,
130183,,,,,,
130217,3720086,15711769,17637901,3898899,15668136,18357048
130226,,,,,,
130253,,,,,,
130314,,,,,,
130396,12093457,206341642,230446875,14225569,207423051,52315362
130448,,,,,,
130493,99948204,262202130,188979208,99189850,271869724,208948032
130509,,,,,,
130581,,,,,,
130590,,,,,,
130606,7889809,41226600,34081290,8240803,40788469,36199418
130624,,,134030870,,,98839490
130697,,,,,,
130776,55325261,204074045,109424295,53453889,206537876,120012096
130785,,,,,,
130794,,,,,,
130837,,,,,,
130873,,,,,,
130882,89396,3380558,19502677,105500,3765496,10977988
130891,2581080,21034045,46244495,1791150,30192173,50235897
130907,1255389,19401437,31618572,1306541,27008266,34041611
130916,3272324,47532637,65710828,2988690,54477519,75063061
130934,79010843,135181134,97459894,76595659,140352624,111375549
130943,,,,,,
130989,,,,,,
131061,,,,,,
131098,,,,,,
131113,,,,,,
131159,,,,,,
131283,,,,,,
131308,,,,,,
131399,79030401,91037876,134971349,78710264,118031336,179633282
131405,,,,,,
131450,,,,,,
131469,,,,,,
131496,,,,,,
131520,,,,,,
131566,,,,,,
131742,,,,,,
131803,,,,,,
131830,,,,,,
131876,,,,,,
131973,,,,,,
132268,,,,,,
132338,,,,,,
132374,,,26008141,,,26282188
132408,,,,,,
132471,,,,,,
132523,,,737229,,,817515
132602,,,,,,
132657,,,,,,
132666,,,,,,
132675,,,1752189,,,1721590
132693,17034214,125796766,99588397,16279807,123030456,110533602
132709,56001765,250770829,243349358,55853440,270510394,277621949
132806,,,,,,
132842,,,,,,
132851,8444037,88950404,59725006,8089299,90262277,66348490
132879,,,,,,
132903,318760690,1020178630,778537324,305695878,1087877190,859633642
132976,,,6006662,,,5309828
133021,3745499,57799431,20607564,4320658,59066000,23918338
133085,,,,,,
133155,,,7119524,,,7490840
133386,43321373,172055986,136880470,43825382,171847653,139589407
133465,,,,,,
133492,,,,,,
133508,26416099,145346535,85206807,33074412,158099038,99625894
133526,,,,,,
133553,,,,,,
133650,105853913,522742986,319409058,79968963,593983960,366106204
133669,191032174,802779369,444023497,180553309,853265389,497878093
133702,48000071,279897702,208648192,42497091,283256443,222943924
133711,,,,,,
133809,,,,,,
133845,,,,,,
133854,,,,,,
133863,,,,,,
133872,,,,,,
133881,,,,,,
133942,,,,,,
133951,350531586,806210686,714363383,350237458,876576070,773531134
133960,1524718,23768480,13343508,1141272,27975599,18394883
133979,,,,,,
133997,,,,,,
134024,,,,,,
134079,,,,,,
134097,374491076,1931172569,997046730,431575035,2049561010,1074684457
134112,,,,,,
134121,,,,,,
134130,588311000,2297097000,2306844000,638115000,2369297000,2409542000
134149,,,,,,
134228,,,,,,
134237,,,,,,
134291,,,5427847,,,6399228
134307,,,5068097,,,5501246
134343,10340004,100111635,49618067,10263170,108243281,58948589
134422,,,,,,
134495,13988439,233573582,157313718,12051500,244365984,186606800
134510,,,,,,
134529,,,,,,
134574,,,,,,
134608,19288232,265088493,113155374,22019667,270162340,123815144
134680,,,,,,
134714,,,,,,
134811,,,,,,
134875,,,,,,
134909,,,,,,
134945,,,,,,
135063,,,,,,
135081,,,,,,
135124,,,,,,
135142,,,,,,
135160,4983572,45654014,27229088,5306206,48530799,29205890
135179,,,8218820,,,8081513
135188,4072088,71912086,27506096,4599052,69778010,28013244
135267,,,9869382,,,13838348
135276,,,18800201,,,20456330
135294,,,13934036,,,13312429
135337,,,,,,
135364,,,,,,
135391,7294778,100149313,75638117,8864267,101184255,81079532
135407,,,14034599,,,18139529
135416,,,,,,
135434,,,,,,
135522,,,7124294,,,7914736
135610,,,,,,
135647,,,17646698,,,12764987
135717,90151282,979071188,519671917,107339284,1096231657,578763127
135726,,,,,,
135735,,,21228336,,,26705602
135771,,,,,,
135939,,,,,,
135957,,,,,,
136011,,,,,,
136048,,,,,,
136066,,,,,,
136075,,,,,,
136109,,,,,,
136145,1938959,30586882,12346532,1234533,30250477,13219869
136172,189310701,376003510,224909797,190695124,386898714,243847844
136206,,,,,,
136215,,,,,,
136233,7256367,134346064,51679687,7076881,135996192,53629204
136251,,,,,,
136288,,,,,,
136303,,,8807333,,,9501242
136330,,,,,,
136358,25771148,226004009,152953847,25108932,250408188,188822701
136400,10506403,148473886,64132347,7824223,182276776,97495886
136473,15369966,66269671,79631745,14572151,71341101,85680942
136491,,,12745384,,,13720185
136516,6736865,74759274,57464739,7152113,72701544,64705065
136659,,,3554345,,,3559976
136701,,,,,,
136738,,,,,,
136747,,,,,,
136765,,,6090576,,,6493221
136774,,,,,,
136783,,,,,,
136826,,,3386453,,,3576338
136950,,,,,,
137023,,,12546516,,,10734304
137032,,,,,,
137078,55909854,310061031,195064062,57573827,317412742,212708926
137087,,,11171794,,,12864456
137096,108747631,123504675,103046947,118155209,129875961,111743199
137120,,,19444681,,,21111717
137148,,,,,,
137209,18320525,184322495,112821183,18665422,198034196,128782833
137245,,,11884947,,,12651172
137272,,,,,,
137281,4623108,67672709,41427331,3999145,69948640,50163627
